layer1node1,layer1node2,layer1node3,layer1node4,layer1node5,layer2node1
-0.096758015,-0.01401658,-0.022820864,-0.034320515,-0.092336826,
-0.059776235,-0.067423835,0.010305264,0.031605788,0.090077825,
-0.053708777,0.019173006,0.025848951,-0.018389897,-0.018256309,
0.054336008,-0.024723455,-0.08682605,0.028541347,0.019463783,
0.047068432,-0.07567667,0.028849103,0.021706104,0.028285304,
-0.014136245,0.035366192,-0.020739224,0.047513254,0.028832234,
-0.03378496,-0.06521872,-0.051356263,-0.05766369,-0.033552922,
-0.057046525,0.0,0.04047095,0.025292449,-0.08837853,
0.0,0.070815265,0.049561787,0.0,0.0174376,
0.040993016,0.038237303,0.01800006,-0.072827674,-0.048106223,
-0.060433388,0.016345907,-0.047775283,0.018185245,-0.08916285,
0.028469106,0.04317841,0.018784745,-0.030166913,-0.027326617,
0.12538405,0.026434144,-0.016036114,0.0,0.04256056,
-0.025658315,-0.05106548,-0.072392315,0.050134297,-0.07717586,
-0.06250068,-0.096128225,-0.07700819,0.0,0.025882164,
0.033582583,0.07615822,0.025090452,0.0,0.018985359,
0.0,0.023769721,0.0156174,0.03236146,-0.01357496,
-0.04006605,-0.018175382,0.042741593,0.03514793,0.011397153,
-0.056534294,-0.04240733,0.026650663,-0.07989757,0.018654237,
-0.03133737,-0.045402188,-0.06108353,0.0,0.06076056,
0.01389972,0.07206355,-0.07194143,0.010140735,-0.015531997,
-0.07472324,-0.08076329,0.0,-0.08688747,0.053148475,
0.0,0.04115712,0.023487756,-0.03733888,-0.02707102,
0.06852489,-0.024578081,-0.045607664,0.0,-0.03161456,
0.022914648,0.013410181,0.010752778,-0.034324355,0.017849298,
-0.03363226,0.0,-0.078169584,0.0,-0.044090852,
-0.035684273,0.03161583,0.03630169,0.0,0.0,
0.0,-0.060992826,-0.034890484,-0.02120724,0.02677056,
-0.049282726,0.0,-0.06323273,-0.04551311,-0.0659845,
-0.09906021,-0.011114425,0.044929072,-0.028008312,-0.0479558,
0.0,0.013625432,0.07906642,-0.089837275,0.01091701,
-0.043061554,0.056916837,0.04788794,0.018029565,0.012299653,
-0.017605998,0.0,-0.025410635,0.0,0.0,
-0.040019803,0.04621614,0.011063647,-0.053792737,-0.022603096,
0.02451601,0.0,0.013946941,0.035662454,0.053269617,
0.023607908,-0.048115708,-0.061137855,0.033388596,-0.024728004,
-0.026036631,0.065330654,0.05627339,0.042059503,0.0105313435,
0.03826838,-0.0448829,-0.015409691,0.0225658,-0.03339389,
-0.10228103,0.09083651,-0.032445915,0.01732505,0.011578224,
-0.057623222,0.0,-0.021836108,0.0,-0.06912042,
0.0,0.03857015,-0.04234606,0.05084813,0.05667831,
-0.019816214,-0.02744518,-0.04798147,-0.048450176,-0.02945049,
0.026296483,0.016851382,0.023564203,0.050497014,-0.023233479,
-0.024607573,0.081361294,0.0,0.026119119,0.0,
0.07518718,0.08073167,0.012215778,0.0,0.0,
0.0,-0.011925303,0.013480707,0.040079936,0.024646584,
-0.024470517,-0.054301817,0.07695315,0.09449719,0.0,
0.010161127,0.02052186,-0.0646622,0.0,-0.09974512,
-0.044983163,-0.011018334,0.02369405,-0.019450605,0.0,
0.015096821,-0.05206465,0.029876702,0.024641072,0.0,
0.048622884,0.04110572,0.064003505,0.0,-0.0146792885,
-0.03960877,0.058754772,-0.0396938,0.0,0.0,
-0.046019252,0.030246379,0.06502327,-0.04352936,-0.052593477,
0.0,0.05430352,-0.033604,-0.099578016,-0.043325916,
0.0,0.09564663,0.0,-0.05397037,0.09345831,
-0.0537007,0.053329013,-0.04789191,0.0,0.035908394,
0.046454135,0.0,-0.019333087,0.058226373,0.0,
0.03947508,0.08059794,0.018584821,-0.031372145,-0.042253677,
-0.019687617,0.0,0.031122776,-0.057369728,0.031187225,
0.056391615,0.040922627,-0.036311537,0.0,0.031349793,
-0.049619727,0.0,-0.08912936,-0.014444725,0.0,
0.019921178,0.03263125,0.025577437,0.0,0.038134597,
0.01510447,-0.043771505,0.0241962,0.0,0.0,
-0.04475405,-0.017097183,0.19592199,0.032648154,-0.019470274,
0.013689934,-0.058492716,0.03469032,0.0,-0.03892053,
0.047574434,0.037748847,0.06621693,0.0,-0.03411753,
0.055879056,0.062453676,0.031798232,-0.017420352,0.0,
-0.029843356,0.051846802,-0.05452899,-0.0634236,0.0,
-0.06829162,-0.04452181,-0.03369454,-0.03163334,0.059348267,
-0.017778223,0.014820992,-0.045628265,0.028418817,-0.03641685,
-0.0559471,0.027393013,0.013809277,0.06652343,0.0,
-0.03478148,0.038840838,-0.017079428,0.02509563,0.046553038,
-0.035009034,0.03207313,0.0,0.020917658,0.017006632,
0.0,0.0,-0.036337394,-0.021438912,0.04339688,
0.0,-0.046788473,0.017103104,-0.050626896,0.09818873,
-0.013209593,-0.03031738,0.066706926,0.0,0.05851957,
0.028995171,0.0,-0.05137077,0.012644563,0.029038684,
0.047982346,0.07924927,0.024825517,0.02769912,-0.06878347,
0.01831884,0.0,-0.012075742,-0.043550007,-0.019150529,
0.0,-0.024824323,0.0,-0.01400993,0.0,
0.02737417,-0.061418355,-0.020341197,0.0154882325,-0.022656027,
0.043342855,0.018617302,0.0,0.0,0.07488289,
0.031896375,-0.04286317,-0.049570173,0.035108812,0.0,
0.027944405,0.02217557,-0.017456142,-0.051348954,-0.018173983,
0.029880311,-0.01729245,0.062082395,-0.06378703,0.0,
0.07260261,-0.033312235,0.094334446,0.0,-0.026288988,
-0.04076022,0.084726095,0.11757505,-0.050402347,-0.016783888,
0.036928684,0.026726093,0.027357033,-0.018956209,-0.05531585,
-0.021366071,0.026253404,0.018825723,-0.020180708,0.0814012,
0.0,-0.058738228,0.010465808,-0.06212074,0.08028903,
-0.05222575,0.035399824,0.06595506,-0.014454931,0.0,
-0.010767239,0.058273204,0.09275634,0.0,-0.023515683,
-0.049475454,0.02463044,-0.04543837,-0.062016614,0.014102196,
0.05882422,0.08329778,0.06820813,0.059602145,0.02500003,
-0.100877374,0.044445284,0.0430612,0.0,0.010347581,
0.043407414,0.06974804,-0.018851306,0.0148409065,-0.06661974,
0.0,0.0,-0.034229096,-0.013172947,0.01607642,
-0.038864676,0.052975386,0.043919105,-0.012699962,-0.023191756,
0.0,-0.025407715,0.019065743,-0.10803535,0.0,
0.0,-0.051400922,0.0,0.08467207,-0.032761075,
-0.054816574,-0.07980657,0.105291575,0.011224821,0.0,
-0.03441587,0.025626643,0.0,-0.06367743,-0.08715965,
-0.027091576,-0.033413615,0.0,-0.060344003,-0.06923854,
0.01559634,-0.033960532,0.09530135,0.07050127,-0.042147774,
0.011440143,0.036494736,0.0,0.0357559,0.0,
0.07175059,0.039712846,-0.017203093,0.04588618,-0.07691954,
0.0,0.057134878,-0.03783767,-0.046939727,0.0,
0.012338866,0.0,-0.09846229,-0.033032812,0.05273912,
-0.0589696,0.049098704,0.0,0.0114649385,0.024037378,
0.055033486,0.05769291,-0.018715592,0.035634,0.0,
-0.052543953,-0.04914515,0.0773314,-0.028263824,-0.03666596,
